Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
26-Mar-2020,1,354423,NaN,NaN,1,43782,NaN,NaN,0,133314,NaN,NaN,3,298108,NaN,NaN,5,0,0
27-Mar-2020,1,354423,NaN,NaN,2,43782,NaN,NaN,0,133314,NaN,NaN,4,298108,NaN,NaN,5,0,0
28-Mar-2020,1,354423,NaN,NaN,2,43782,NaN,NaN,0,133314,NaN,NaN,4,298108,NaN,NaN,5,0,0
29-Mar-2020,1,354423,NaN,NaN,2,43782,NaN,NaN,0,133314,NaN,NaN,4,298108,NaN,NaN,5,0,0
30-Mar-2020,1,354423,0.142857142857143,4.03069616975035e-05,2,43782,0.285714285714286,0.000652583905975711,1,133314,0.142857142857143,0.000107158395110148,4,298108,0.428571428571429,0.000143763813306395,5,0,0
31-Mar-2020,1,354423,0.142857142857143,4.03069616975035e-05,2,43782,0.142857142857143,0.000326291952987855,1,133314,0.142857142857143,0.000107158395110148,5,298108,0.285714285714286,9.58425422042634e-05,5,0,0
01-Apr-2020,2,354423,0.142857142857143,4.03069616975035e-05,3,43782,0.142857142857143,0.000326291952987855,1,133314,0.142857142857143,0.000107158395110148,6,298108,0.285714285714286,9.58425422042634e-05,5,0,0
02-Apr-2020,2,354423,0.142857142857143,4.03069616975035e-05,3,43782,0.142857142857143,0.000326291952987855,1,133314,0.142857142857143,0.000107158395110148,6,298108,0.428571428571429,0.000143763813306395,5,0,0
03-Apr-2020,2,354423,0.142857142857143,4.03069616975035e-05,3,43782,0.142857142857143,0.000326291952987855,1,133314,0,0,6,298108,0.571428571428571,0.000191685084408527,5,0,0
04-Apr-2020,2,354423,0.142857142857143,4.03069616975035e-05,3,43782,0.142857142857143,0.000326291952987855,1,133314,0,0,6,298108,0.571428571428571,0.000191685084408527,5,0,0
05-Apr-2020,2,354423,0,0,3,43782,0,0,1,133314,0,0,7,298108,0.571428571428571,0.000191685084408527,5,0,0
06-Apr-2020,2,354423,0,0,3,43782,0,0,1,133314,0,0,8,298108,0.571428571428571,0.000191685084408527,5,0,0
07-Apr-2020,2,354423,0,0,3,43782,0,0,1,133314,0.142857142857143,0.000107158395110148,9,298108,0.714285714285714,0.000239606355510659,5,0,0
08-Apr-2020,2,354423,0,0,3,43782,0,0,1,133314,0.142857142857143,0.000107158395110148,10,298108,0.857142857142857,0.00028752762661279,5,0,0
09-Apr-2020,2,354423,0,0,3,43782,0,0,1,133314,0.142857142857143,0.000107158395110148,10,298108,0.714285714285714,0.000239606355510659,5,0,0
10-Apr-2020,2,354423,0,0,3,43782,0,0,2,133314,0.142857142857143,0.000107158395110148,11,298108,0.714285714285714,0.000239606355510659,5,0,0
11-Apr-2020,2,354423,0.142857142857143,4.03069616975035e-05,3,43782,0,0,2,133314,0.285714285714286,0.000214316790220296,12,298108,0.714285714285714,0.000239606355510659,5,0,0
12-Apr-2020,2,354423,0.142857142857143,4.03069616975035e-05,3,43782,0,0,2,133314,0.285714285714286,0.000214316790220296,12,298108,0.714285714285714,0.000239606355510659,5,0,0
13-Apr-2020,2,354423,0.285714285714286,8.0613923395007e-05,3,43782,0,0,2,133314,0.285714285714286,0.000214316790220296,13,298108,0.714285714285714,0.000239606355510659,5,0,0
14-Apr-2020,3,354423,0.285714285714286,8.0613923395007e-05,3,43782,0,0,3,133314,0.142857142857143,0.000107158395110148,14,298108,0.571428571428571,0.000191685084408527,5,0,0
15-Apr-2020,3,354423,0.428571428571429,0.000120920885092511,3,43782,0,0,3,133314,0.142857142857143,0.000107158395110148,15,298108,0.428571428571429,0.000143763813306395,5,0,0
16-Apr-2020,4,354423,0.571428571428571,0.000161227846790014,3,43782,0,0,3,133314,0.142857142857143,0.000107158395110148,15,298108,0.428571428571429,0.000143763813306395,5,0,0
17-Apr-2020,4,354423,0.571428571428571,0.000161227846790014,3,43782,0,0,3,133314,0.142857142857143,0.000107158395110148,15,298108,0.285714285714286,9.58425422042634e-05,5,0,0
18-Apr-2020,5,354423,0.428571428571429,0.000120920885092511,3,43782,0,0,3,133314,0,0,15,298108,0.142857142857143,4.79212711021317e-05,5,0,0
19-Apr-2020,6,354423,0.571428571428571,0.000161227846790014,3,43782,0,0,3,133314,0,0,15,298108,0,0,5,0,0
20-Apr-2020,6,354423,0.428571428571429,0.000120920885092511,3,43782,0,0,3,133314,0,0,15,298108,0.142857142857143,4.79212711021317e-05,5,0,0
21-Apr-2020,6,354423,0.428571428571429,0.000120920885092511,3,43782,0,0,3,133314,0,0,15,298108,0.142857142857143,4.79212711021317e-05,5,0,0
22-Apr-2020,7,354423,0.428571428571429,0.000120920885092511,3,43782,0,0,3,133314,0,0,15,298108,0.142857142857143,4.79212711021317e-05,5,0,0
23-Apr-2020,7,354423,0.285714285714286,8.0613923395007e-05,3,43782,0,0,3,133314,0,0,16,298108,0.142857142857143,4.79212711021317e-05,5,0,0
24-Apr-2020,7,354423,0.285714285714286,8.0613923395007e-05,3,43782,0,0,3,133314,0,0,16,298108,0.142857142857143,4.79212711021317e-05,5,0,0
25-Apr-2020,8,354423,0.428571428571429,0.000120920885092511,3,43782,0,0,3,133314,0,0,16,298108,0.142857142857143,4.79212711021317e-05,5,0,0
26-Apr-2020,8,354423,0.285714285714286,8.0613923395007e-05,3,43782,0.142857142857143,0.000326291952987855,3,133314,0.142857142857143,0.000107158395110148,16,298108,0.285714285714286,9.58425422042634e-05,5,0,0
27-Apr-2020,8,354423,0.285714285714286,8.0613923395007e-05,3,43782,0.142857142857143,0.000326291952987855,3,133314,0.142857142857143,0.000107158395110148,16,298108,0.285714285714286,9.58425422042634e-05,5,0,0
