Time,wht_git_case_count_cum,wht_git_case_pct_cum,wht_git_death_count_cum,wht_git_death_pct_cum,wht_calgov_case_count_cum,wht_calgov_case_pct_cum,wht_calgov_death_count_cum,wht_calgov_death_pct_cum,wht_calgov_case_count_daily,wht_calgov_case_count_daily_wkave,wht_calgov_case_pctchange_daily_wkave,wht_death_pctof_racepop,blk_git_case_count_cum,blk_git_case_pct_cum,blk_git_death_count_cum,blk_git_death_pct_cum,blk_calgov_case_count_cum,blk_calgov_case_pct_cum,blk_calgov_death_count_cum,blk_calgov_death_pct_cum,blk_calgov_case_count_daily,blk_calgov_case_count_daily_wkave,blk_calgov_case_pctchange_daily_wkave,blk_death_pctof_racepop,ltn_git_case_count_cum,ltn_git_case_pct_cum,ltn_git_death_count_cum,ltn_git_death_pct_cum,ltn_calgov_case_count_cum,ltn_calgov_case_pct_cum,ltn_calgov_death_count_cum,ltn_calgov_death_pct_cum,ltn_calgov_case_count_daily,ltn_calgov_case_count_daily_wkave,ltn_calgov_case_pctchange_daily_wkave,ltn_death_pctof_racepop,asn_git_case_count_cum,asn_git_case_pct_cum,asn_git_death_count_cum,asn_git_death_pct_cum,asn_calgov_case_count_cum,asn_calgov_case_pct_cum,asn_calgov_death_count_cum,asn_calgov_death_pct_cum,asn_calgov_case_count_daily,asn_calgov_case_count_daily_wkave,asn_calgov_case_pctchange_daily_wkave,asn_death_pctof_racepop,ntv_git_case_count_cum,ntv_git_case_pct_cum,ntv_git_death_count_cum,ntv_git_death_pct_cum,ntv_calgov_case_count_cum,ntv_calgov_case_pct_cum,ntv_calgov_death_count_cum,ntv_calgov_death_pct_cum,ntv_calgov_case_count_daily,ntv_calgov_case_count_daily_wkave,ntv_calgov_case_pctchange_daily_wkave,ntv_death_pctof_racepop,mlt_git_case_count_cum,mlt_git_case_pct_cum,mlt_git_death_count_cum,mlt_git_death_pct_cum,mlt_calgov_case_count_cum,mlt_calgov_case_pct_cum,mlt_calgov_death_count_cum,mlt_calgov_death_pct_cum,mlt_calgov_case_count_daily,mlt_calgov_case_count_daily_wkave,mlt_calgov_case_pctchange_daily_wkave,mlt_death_pctof_racepop,pcf_git_case_count_cum,pcf_git_case_pct_cum,pcf_git_death_count_cum,pcf_git_death_pct_cum,pcf_calgov_case_count_cum,pcf_calgov_case_pct_cum,pcf_calgov_death_count_cum,pcf_calgov_death_pct_cum,pcf_calgov_case_count_daily,pcf_calgov_case_count_daily_wkave,pcf_calgov_case_pctchange_daily_wkave,pcf_death_pctof_racepop,aks_npi_onset,aks_npi_description,haug_npi_type,haug_npi_type_sub,haug_npi_type_subsub,haug_npi_any_onset,alldta_npi_any_onset
27-Feb-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Risk communication,Educate and actively communicate with the public,"Information campaign",1,1
28-Feb-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
29-Feb-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
01-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
02-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
03-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
04-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Resource allocation,Activate or establish emergency response,"Declare state of emergency",1,1
05-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
06-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
07-Mar-2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,"",NaN,0
