Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/28/2020,248,4,132,2,27,54,36,44,38,28,19,0,138,110,0,37,5,134,42,10,20,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,1,0,0,1,5,11,18,33,21,22,21,0,70,62,0,22,3,85,15,6,1
01/15/2021,1024,11,53,128,265,196,173,114,79,47,22,0,525,485,14,285,39,191,255,69,185,0,0,0,1,2,2,2,4,0,5,6,0,2,1,5,3,0,0,1,3,5,6,7,14,11,6,0,32,21,0,17,0,20,13,2,1
01/05/2021,1599,16,85,169,472,298,240,184,133,65,37,1,808,788,3,524,47,239,339,95,355,0,0,0,1,2,3,6,4,0,3,13,0,5,1,5,5,0,0,0,7,4,5,12,21,21,15,0,44,41,0,16,5,32,25,4,3
07/29/2020,446,3,19,56,131,94,68,51,28,12,6,0,233,208,5,181,7,99,90,18,51,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,2,1,1,0,7,12,0,8,0,8,2,1,0
08/11/2021,361,1,,53,87,105,46,30,21,14,5,0,199,161,1,68,20,79,119,21,54,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
05/18/2020,945,33,113,67,235,152,190,149,83,46,23,0,494,440,11,433,10,151,72,36,243,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,14,11,15,21,13,22,16,0,52,61,0,41,0,46,15,4,7
12/26/2020,957,19,81,94,235,180,155,139,90,41,23,0,508,446,3,345,26,136,206,63,181,0,0,0,1,0,3,9,6,0,8,11,0,5,0,6,8,0,0,2,10,5,7,13,16,16,12,0,42,39,0,25,1,34,11,7,3
03/16/2020,78,1,14,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,3,2,1,1,0,4,10,0,1,0,10,3,0,0
12/01/2020,2188,35,129,271,510,425,343,271,200,109,59,0,1167,1014,7,746,60,336,366,87,593,0,0,0,4,5,11,9,6,0,20,15,0,12,1,15,7,0,0,6,6,11,13,21,29,24,19,0,66,63,0,48,1,48,22,5,5
06/14/2021,67,3,8,10,14,22,7,9,4,1,0,0,37,30,0,22,2,18,4,4,17,0,0,0,0,1,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0,1,1,4,0,2,0,0,4,4,0,2,0,4,1,1,0
06/16/2021,36,1,4,6,9,10,7,0,1,2,0,1,22,14,0,12,2,12,5,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,3,1,0,2,0,1,0,1,0
07/20/2021,185,3,15,32,47,48,27,18,6,5,2,0,97,88,0,25,5,52,46,13,44,0,0,0,0,2,0,1,0,0,1,2,0,0,0,3,0,0,0,0,3,1,3,3,1,2,2,0,7,8,0,6,0,6,1,2,0
08/10/2021,426,2,,46,122,116,61,35,18,16,12,0,235,188,3,74,14,96,117,20,105,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,
01/02/2021,1116,21,62,126,277,211,192,147,86,51,26,0,590,524,2,415,28,134,260,64,215,0,1,0,1,1,3,6,9,0,4,17,0,7,3,5,6,0,0,1,6,5,6,10,14,11,9,0,26,36,0,14,4,27,13,3,1
06/29/2020,280,7,31,22,89,56,36,40,17,9,11,0,138,140,2,103,2,63,52,9,51,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,3,4,5,7,1,6,0,12,19,0,14,0,11,5,0,1
07/06/2020,283,5,31,23,80,66,41,35,21,11,6,0,150,129,4,86,11,69,50,6,61,0,0,0,0,1,2,0,2,0,4,1,0,1,0,2,2,0,0,1,3,3,5,6,5,5,3,0,17,14,0,5,1,16,6,0,3
10/15/2020,907,2,37,86,266,213,112,115,72,28,15,0,463,442,2,362,19,111,213,32,170,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,2,6,4,4,9,6,5,0,19,18,0,6,0,19,10,2,0
05/19/2020,890,27,100,78,211,171,148,130,85,39,28,0,450,434,6,429,14,142,72,39,194,0,1,1,3,6,5,6,5,0,8,19,0,11,2,11,3,0,0,5,5,13,15,20,17,14,11,0,52,48,0,43,2,34,12,4,5
12/30/2020,1447,23,63,191,371,275,198,200,138,52,22,0,762,673,12,480,30,228,274,74,361,0,0,0,4,6,4,5,4,0,5,18,0,13,1,5,3,1,0,1,1,4,6,10,15,17,9,0,30,33,0,22,1,22,11,4,3
10/19/2020,1166,3,51,151,274,251,162,169,96,43,20,0,597,568,1,427,25,200,249,50,215,0,0,0,0,0,2,1,0,0,1,2,0,1,0,1,1,0,0,2,2,1,7,14,8,10,7,0,26,25,0,12,1,17,17,1,3
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
03/04/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
09/08/2020,368,1,21,36,120,80,55,39,23,10,5,0,180,188,0,177,8,38,83,7,55,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,2,4,4,4,0,7,14,0,11,0,5,4,0,1
03/03/2021,337,5,23,46,92,72,56,29,24,14,4,0,160,177,0,76,20,71,89,33,48,0,0,0,0,0,1,1,3,0,3,2,0,0,1,3,1,0,0,1,2,1,1,4,7,5,2,0,15,8,0,2,0,13,7,1,0
07/17/2021,121,0,8,23,36,28,17,8,2,4,3,0,67,52,2,39,2,27,16,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,0,4,4,0,0,0,5,1,1,1
03/17/2021,474,9,28,48,161,99,69,49,35,9,4,0,238,236,0,88,25,100,141,29,91,0,0,1,1,0,2,1,4,0,4,5,0,1,0,5,3,0,0,0,5,3,4,5,5,3,3,0,15,13,0,7,1,17,3,0,0
04/05/2021,934,6,49,176,232,205,151,96,46,20,8,0,496,436,2,217,32,249,200,54,182,0,0,0,0,2,2,0,2,0,3,3,0,1,0,4,1,0,0,2,4,6,5,11,6,11,4,0,26,23,0,11,1,31,3,2,1
03/08/2021,326,5,23,53,102,61,35,32,31,8,4,0,166,160,0,92,19,59,73,22,61,0,0,0,0,2,1,2,0,0,2,3,0,3,0,2,0,0,0,0,2,2,1,4,8,3,3,0,14,9,0,5,0,11,5,2,0
