"","ep_date","reth","cases_14day","case_14day_rate","adj_case_14day_rate","case_rate_unstable","death_14day","death_14day_rate","adj_death_14day_rate","death_rate_unstable","population"
"1",2021-08-20,"Asian",1590,114,120,"",15,1,1,"^",1395605
"2",2021-08-20,"Black/African American",2872,364,378,"",28,4,3,"",789202
"3",2021-08-20,"Latino/Hispanic",15079,317,306,"",98,2,3,"",4758809
"4",2021-08-20,"American Indian or Alaska Native",60,273,298,"",0,0,0,"",22005
"5",2021-08-20,"Native Hawaiian or Other Pacific Islander",158,825,836,"",4,21,26,"^",19152
"6",2021-08-20,"White",6102,229,250,"",74,3,2,"",2666559
"7",2021-08-19,"Asian",1732,124,130,"",17,1,1,"^",1395605
"8",2021-08-19,"Black/African American",3164,401,416,"",28,4,3,"",789202
"9",2021-08-19,"Latino/Hispanic",16419,345,332,"",103,2,3,"",4758809
"10",2021-08-19,"American Indian or Alaska Native",64,291,314,"",0,0,0,"",22005
"11",2021-08-19,"Native Hawaiian or Other Pacific Islander",170,888,900,"",4,21,26,"^",19152
"12",2021-08-19,"White",6699,251,275,"",74,3,2,"",2666559
"13",2021-08-18,"Asian",1844,132,139,"",18,1,1,"^",1395605
"14",2021-08-18,"Black/African American",3458,438,455,"",29,4,3,"",789202
"15",2021-08-18,"Latino/Hispanic",17410,366,352,"",104,2,3,"",4758809
"16",2021-08-18,"American Indian or Alaska Native",69,314,340,"",0,0,0,"",22005
"17",2021-08-18,"Native Hawaiian or Other Pacific Islander",179,935,939,"",4,21,26,"^",19152
"18",2021-08-18,"White",7194,270,295,"",74,3,2,"",2666559
"19",2021-08-17,"Asian",1937,139,146,"",15,1,1,"^",1395605
"20",2021-08-17,"Black/African American",3638,461,477,"",30,4,3,"",789202
"21",2021-08-17,"Latino/Hispanic",17655,371,357,"",102,2,3,"",4758809
"22",2021-08-17,"American Indian or Alaska Native",63,286,310,"",0,0,0,"",22005
"23",2021-08-17,"Native Hawaiian or Other Pacific Islander",183,956,957,"",5,26,31,"^",19152
"24",2021-08-17,"White",7528,282,308,"",73,3,2,"",2666559
"25",2021-08-16,"Asian",1984,142,150,"",14,1,1,"^",1395605
"26",2021-08-16,"Black/African American",3767,477,495,"",30,4,3,"",789202
"27",2021-08-16,"Latino/Hispanic",17774,373,360,"",103,2,3,"",4758809
"28",2021-08-16,"American Indian or Alaska Native",61,277,303,"",0,0,0,"",22005
"29",2021-08-16,"Native Hawaiian or Other Pacific Islander",183,956,953,"",7,37,41,"^",19152
"30",2021-08-16,"White",7823,293,320,"",63,2,2,"",2666559
"31",2021-08-15,"Asian",1911,137,144,"",12,1,1,"^",1395605
"32",2021-08-15,"Black/African American",3784,479,496,"",28,4,3,"",789202
"33",2021-08-15,"Latino/Hispanic",17252,363,349,"",93,2,2,"",4758809
"34",2021-08-15,"American Indian or Alaska Native",58,264,293,"",0,0,0,"",22005
