,race_ethnicity,start_date,end_date,new_cases,_7_day_case_rate
0,African American,2020-03-08T00:00:00.000,2020-03-14T00:00:00.000,,
1,African American,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,,
2,African American,2020-03-22T00:00:00.000,2020-03-28T00:00:00.000,,
3,African American,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,,
4,African American,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,13,27.38
5,African American,2020-04-12T00:00:00.000,2020-04-18T00:00:00.000,,
6,African American,2020-04-19T00:00:00.000,2020-04-25T00:00:00.000,,
7,African American,2020-04-26T00:00:00.000,2020-05-02T00:00:00.000,,
8,African American,2020-05-03T00:00:00.000,2020-05-09T00:00:00.000,,
9,African American,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,,
10,African American,2020-05-24T00:00:00.000,2020-05-30T00:00:00.000,,
11,African American,2020-05-31T00:00:00.000,2020-06-06T00:00:00.000,,
12,African American,2020-06-07T00:00:00.000,2020-06-13T00:00:00.000,,
13,African American,2020-06-14T00:00:00.000,2020-06-20T00:00:00.000,12,25.28
14,African American,2020-06-21T00:00:00.000,2020-06-27T00:00:00.000,33,69.51
15,African American,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,18,37.92
16,African American,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,33,69.51
17,African American,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,35,73.73
18,African American,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,41,86.36
19,African American,2020-07-26T00:00:00.000,2020-08-01T00:00:00.000,33,69.51
20,African American,2020-08-02T00:00:00.000,2020-08-08T00:00:00.000,26,54.77
21,African American,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,28,58.98
22,African American,2020-08-16T00:00:00.000,2020-08-22T00:00:00.000,25,52.66
23,African American,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,13,27.38
24,African American,2020-08-30T00:00:00.000,2020-09-05T00:00:00.000,14,29.49
25,African American,2020-09-06T00:00:00.000,2020-09-12T00:00:00.000,,
26,African American,2020-09-13T00:00:00.000,2020-09-19T00:00:00.000,14,29.49
27,African American,2020-09-20T00:00:00.000,2020-09-26T00:00:00.000,,
28,African American,2020-09-27T00:00:00.000,2020-10-03T00:00:00.000,,
29,African American,2020-10-04T00:00:00.000,2020-10-10T00:00:00.000,,
30,African American,2020-10-11T00:00:00.000,2020-10-17T00:00:00.000,,
31,African American,2020-10-18T00:00:00.000,2020-10-24T00:00:00.000,15,31.6
32,African American,2020-10-25T00:00:00.000,2020-10-31T00:00:00.000,24,50.56
33,African American,2020-11-01T00:00:00.000,2020-11-07T00:00:00.000,41,86.36
34,African American,2020-11-08T00:00:00.000,2020-11-14T00:00:00.000,53,111.64
35,African American,2020-11-15T00:00:00.000,2020-11-21T00:00:00.000,85,179.05
36,African American,2020-11-22T00:00:00.000,2020-11-28T00:00:00.000,65,136.92
37,African American,2020-11-29T00:00:00.000,2020-12-05T00:00:00.000,107,225.39
38,African American,2020-12-06T00:00:00.000,2020-12-12T00:00:00.000,134,282.27
39,African American,2020-12-13T00:00:00.000,2020-12-19T00:00:00.000,154,324.39
40,African American,2020-12-20T00:00:00.000,2020-12-26T00:00:00.000,141,297.01
41,African American,2020-12-27T00:00:00.000,2021-01-02T00:00:00.000,182,383.38
42,African American,2021-01-03T00:00:00.000,2021-01-09T00:00:00.000,181,381.27
43,African American,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,125,263.31
44,African American,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,98,206.43
45,African American,2021-01-24T00:00:00.000,2021-01-30T00:00:00.000,45,94.79
46,African American,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,49,103.22
