,date,county,fips,tier
0,2021-06-15,Alameda,1,4
1,2021-06-15,Alpine,3,4
2,2021-06-15,Amador,5,4
3,2021-06-15,Butte,7,3
4,2021-06-15,Calaveras,9,3
5,2021-06-15,Colusa,11,3
6,2021-06-15,Contra Costa,13,3
7,2021-06-15,Del Norte,15,3
8,2021-06-15,El Dorado,17,3
9,2021-06-15,Fresno,19,3
10,2021-06-15,Glenn,21,4
11,2021-06-15,Humboldt,23,3
12,2021-06-15,Imperial,25,3
13,2021-06-15,Inyo,27,4
14,2021-06-15,Kern,29,3
15,2021-06-15,Kings,31,3
16,2021-06-15,Lake,33,3
17,2021-06-15,Lassen,35,4
18,2021-06-15,Los Angeles,37,4
19,2021-06-15,Madera,39,3
20,2021-06-15,Marin,41,4
21,2021-06-15,Mariposa,43,4
22,2021-06-15,Mendocino,45,4
23,2021-06-15,Merced,47,3
24,2021-06-15,Modoc,49,3
25,2021-06-15,Mono,51,4
26,2021-06-15,Monterey,53,4
27,2021-06-15,Napa,55,4
28,2021-06-15,Nevada,57,3
29,2021-06-15,Orange,59,4
30,2021-06-15,Placer,61,3
31,2021-06-15,Plumas,63,3
32,2021-06-15,Riverside,65,4
33,2021-06-15,Sacramento,67,3
34,2021-06-15,San Benito,69,4
35,2021-06-15,San Bernardino,71,4
36,2021-06-15,San Diego,73,4
37,2021-06-15,San Francisco,75,4
38,2021-06-15,San Joaquin,77,3
39,2021-06-15,San Luis Obispo,79,4
40,2021-06-15,San Mateo,81,4
41,2021-06-15,Santa Barbara,83,4
42,2021-06-15,Santa Clara,85,4
43,2021-06-15,Santa Cruz,87,4
44,2021-06-15,Shasta,89,3
45,2021-06-15,Sierra,91,4
46,2021-06-15,Siskiyou,93,3
47,2021-06-15,Solano,95,3
48,2021-06-15,Sonoma,97,3
49,2021-06-15,Stanislaus,99,3
50,2021-06-15,Sutter,101,3
51,2021-06-15,Tehama,103,3
52,2021-06-15,Trinity,105,4
53,2021-06-15,Tulare,107,4
54,2021-06-15,Tuolumne,109,3
55,2021-06-15,Ventura,111,4
56,2021-06-15,Yolo,113,4
57,2021-06-15,Yuba,115,2
58,2021-06-14,Alameda,1,4
59,2021-06-14,Alpine,3,4
60,2021-06-14,Amador,5,4
61,2021-06-14,Butte,7,3
62,2021-06-14,Calaveras,9,3
63,2021-06-14,Colusa,11,3
64,2021-06-14,Contra Costa,13,3
65,2021-06-14,Del Norte,15,2
66,2021-06-14,El Dorado,17,3
67,2021-06-14,Fresno,19,3
68,2021-06-14,Glenn,21,3
69,2021-06-14,Humboldt,23,3
70,2021-06-14,Imperial,25,3
71,2021-06-14,Inyo,27,4
72,2021-06-14,Kern,29,3
73,2021-06-14,Kings,31,3
74,2021-06-14,Lake,33,3
75,2021-06-14,Lassen,35,4
76,2021-06-14,Los Angeles,37,4
77,2021-06-14,Madera,39,3
78,2021-06-14,Marin,41,4
79,2021-06-14,Mariposa,43,4
80,2021-06-14,Mendocino,45,4
81,2021-06-14,Merced,47,3
82,2021-06-14,Modoc,49,3
83,2021-06-14,Mono,51,4
84,2021-06-14,Monterey,53,4
85,2021-06-14,Napa,55,4
86,2021-06-14,Nevada,57,3
87,2021-06-14,Orange,59,4
88,2021-06-14,Placer,61,3
89,2021-06-14,Plumas,63,3
90,2021-06-14,Riverside,65,3
91,2021-06-14,Sacramento,67,3
92,2021-06-14,San Benito,69,4
93,2021-06-14,San Bernardino,71,3
94,2021-06-14,San Diego,73,4
95,2021-06-14,San Francisco,75,4
96,2021-06-14,San Joaquin,77,3
97,2021-06-14,San Luis Obispo,79,4
98,2021-06-14,San Mateo,81,4
99,2021-06-14,Santa Barbara,83,4
100,2021-06-14,Santa Clara,85,4
101,2021-06-14,Santa Cruz,87,4
102,2021-06-14,Shasta,89,2
103,2021-06-14,Sierra,91,4
104,2021-06-14,Siskiyou,93,3
105,2021-06-14,Solano,95,3
106,2021-06-14,Sonoma,97,3
107,2021-06-14,Stanislaus,99,3
108,2021-06-14,Sutter,101,3
109,2021-06-14,Tehama,103,3
110,2021-06-14,Trinity,105,4
111,2021-06-14,Tulare,107,3
112,2021-06-14,Tuolumne,109,3
113,2021-06-14,Ventura,111,4
114,2021-06-14,Yolo,113,3
115,2021-06-14,Yuba,115,2
116,2021-06-07,Alameda,1,3
117,2021-06-07,Alpine,3,4
118,2021-06-07,Amador,5,4
119,2021-06-07,Butte,7,3
120,2021-06-07,Calaveras,9,3
121,2021-06-07,Colusa,11,3
122,2021-06-07,Contra Costa,13,3
123,2021-06-07,Del Norte,15,2
124,2021-06-07,El Dorado,17,3
125,2021-06-07,Fresno,19,3
126,2021-06-07,Glenn,21,3
127,2021-06-07,Humboldt,23,3
128,2021-06-07,Imperial,25,3
129,2021-06-07,Inyo,27,4
130,2021-06-07,Kern,29,3
131,2021-06-07,Kings,31,3
132,2021-06-07,Lake,33,3
133,2021-06-07,Lassen,35,4
134,2021-06-07,Los Angeles,37,4
135,2021-06-07,Madera,39,3
136,2021-06-07,Marin,41,4
137,2021-06-07,Mariposa,43,4
138,2021-06-07,Mendocino,45,4
139,2021-06-07,Merced,47,3
140,2021-06-07,Modoc,49,3
141,2021-06-07,Mono,51,4
142,2021-06-07,Monterey,53,4
143,2021-06-07,Napa,55,3
144,2021-06-07,Nevada,57,3
145,2021-06-07,Orange,59,4
146,2021-06-07,Placer,61,3
147,2021-06-07,Plumas,63,3
148,2021-06-07,Riverside,65,3
149,2021-06-07,Sacramento,67,3
150,2021-06-07,San Benito,69,4
151,2021-06-07,San Bernardino,71,3
152,2021-06-07,San Diego,73,3
153,2021-06-07,San Francisco,75,4
154,2021-06-07,San Joaquin,77,3
155,2021-06-07,San Luis Obispo,79,3
156,2021-06-07,San Mateo,81,4
157,2021-06-07,Santa Barbara,83,3
158,2021-06-07,Santa Clara,85,4
159,2021-06-07,Santa Cruz,87,4
160,2021-06-07,Shasta,89,2
161,2021-06-07,Sierra,91,4
162,2021-06-07,Siskiyou,93,3
163,2021-06-07,Solano,95,3
164,2021-06-07,Sonoma,97,3
165,2021-06-07,Stanislaus,99,2
166,2021-06-07,Sutter,101,3
167,2021-06-07,Tehama,103,3
