,date,race,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent,population_percent
0,2021-08-04,asian,0-17,22067,0.051,4,0.133,0.13
1,2021-08-04,asian,18+,212832,0.078,7949,0.126,0.165
2,2021-08-04,asian,18-34,72042,0.068,69,0.075,0.151
3,2021-08-04,asian,35-49,51508,0.069,212,0.062,0.175
4,2021-08-04,asian,50-64,49718,0.084,1099,0.087,0.167
5,2021-08-04,asian,65-79,24411,0.1,2565,0.118,0.172
6,2021-08-04,asian,80+,10525,0.116,3971,0.162,0.172
7,2021-08-04,asian,all,234981,0.075,7954,0.126,0.157
8,2021-08-04,black,0-17,16882,0.039,4,0.133,0.054
9,2021-08-04,black,18+,131186,0.048,4093,0.065,0.061
10,2021-08-04,black,18-34,48973,0.047,80,0.088,0.065
11,2021-08-04,black,35-49,32931,0.044,223,0.065,0.059
12,2021-08-04,black,50-64,30659,0.052,873,0.069,0.064
13,2021-08-04,black,65-79,13780,0.057,1500,0.069,0.055
14,2021-08-04,black,80+,4843,0.053,1417,0.058,0.048
15,2021-08-04,black,all,148131,0.047,4097,0.065,0.06
16,2021-08-04,cdph-other,0-17,47734,0.111,2,0.067,0.0
17,2021-08-04,cdph-other,18+,257172,0.094,854,0.014,0.0
18,2021-08-04,cdph-other,18-34,108232,0.103,24,0.026,0.0
19,2021-08-04,cdph-other,35-49,73086,0.098,48,0.014,0.0
20,2021-08-04,cdph-other,50-64,52105,0.088,167,0.013,0.0
21,2021-08-04,cdph-other,65-79,17788,0.073,306,0.014,0.0
22,2021-08-04,cdph-other,80+,5961,0.066,309,0.013,0.0
23,2021-08-04,cdph-other,all,305032,0.097,856,0.014,0.0
24,2021-08-04,latino,0-17,275549,0.639,14,0.467,0.479
25,2021-08-04,latino,18+,1464586,0.538,29279,0.463,0.363
26,2021-08-04,latino,18-34,608777,0.579,628,0.6900000000000001,0.45
27,2021-08-04,latino,35-49,430258,0.577,2489,0.724,0.415
28,2021-08-04,latino,50-64,301374,0.509,8082,0.639,0.322
29,2021-08-04,latino,65-79,98082,0.403,10543,0.487,0.218
30,2021-08-04,latino,80+,26092,0.287,7537,0.306,0.196
31,2021-08-04,latino,all,1740701,0.552,29294,0.463,0.389
32,2021-08-04,other,0-17,9324,0.021,1,0.033,0.044
33,2021-08-04,other,18+,58386,0.022,1204,0.019,0.022
34,2021-08-04,other,18-34,22210,0.021,16,0.017,0.032
35,2021-08-04,other,35-49,16006,0.022,79,0.023,0.021
36,2021-08-04,other,50-64,12918,0.022,219,0.017,0.017
37,2021-08-04,other,65-79,5409,0.022,444,0.021,0.015
38,2021-08-04,other,80+,1843,0.02,446,0.018,0.013
39,2021-08-04,other,all,67725,0.022,1205,0.019,0.027
40,2021-08-04,white,0-17,59397,0.138,5,0.167,0.292
41,2021-08-04,white,18+,598826,0.22,19873,0.314,0.388
42,2021-08-04,white,18-34,190314,0.181,93,0.102,0.302
43,2021-08-04,white,35-49,137783,0.185,355,0.103,0.325
44,2021-08-04,white,50-64,144989,0.245,2211,0.175,0.43
45,2021-08-04,white,65-79,84080,0.345,6297,0.291,0.54
46,2021-08-04,white,80+,41660,0.458,10917,0.444,0.5720000000000001
47,2021-08-04,white,all,658519,0.209,19883,0.314,0.366
48,2021-07-28,asian,0-17,21436,0.051,4,0.143,0.13
49,2021-07-28,asian,18+,209478,0.078,7887,0.125,0.165
50,2021-07-28,asian,18-34,70522,0.068,67,0.074,0.151
51,2021-07-28,asian,35-49,50629,0.069,210,0.062,0.175
52,2021-07-28,asian,50-64,49206,0.084,1086,0.086,0.167
53,2021-07-28,asian,65-79,24176,0.101,2545,0.118,0.172
54,2021-07-28,asian,80+,10454,0.116,3947,0.161,0.172
55,2021-07-28,asian,all,230996,0.075,7892,0.126,0.157
56,2021-07-28,black,0-17,15800,0.038,3,0.107,0.054
57,2021-07-28,black,18+,126406,0.047,4059,0.064,0.061
58,2021-07-28,black,18-34,46757,0.045,79,0.088,0.065
59,2021-07-28,black,35-49,31604,0.043,218,0.064,0.059
60,2021-07-28,black,50-64,29767,0.051,863,0.069,0.064
61,2021-07-28,black,65-79,13497,0.056,1488,0.069,0.055
62,2021-07-28,black,80+,4781,0.053,1411,0.058,0.048
63,2021-07-28,black,all,142268,0.046,4062,0.064,0.06
64,2021-07-28,cdph-other,0-17,46434,0.11,1,0.036,0.0
65,2021-07-28,cdph-other,18+,252264,0.094,837,0.013,0.0
66,2021-07-28,cdph-other,18-34,105951,0.103,22,0.025,0.0
67,2021-07-28,cdph-other,35-49,71556,0.098,48,0.014,0.0
68,2021-07-28,cdph-other,50-64,51305,0.088,159,0.013,0.0
69,2021-07-28,cdph-other,65-79,17549,0.073,300,0.014,0.0
70,2021-07-28,cdph-other,80+,5903,0.066,308,0.013,0.0
71,2021-07-28,cdph-other,all,298824,0.096,838,0.013,0.0
72,2021-07-28,latino,0-17,271414,0.644,14,0.5,0.479
73,2021-07-28,latino,18+,1447682,0.541,29186,0.464,0.363
74,2021-07-28,latino,18-34,600110,0.583,624,0.6960000000000001,0.45
75,2021-07-28,latino,35-49,425389,0.58,2473,0.725,0.415
76,2021-07-28,latino,50-64,298901,0.512,8053,0.641,0.322
77,2021-07-28,latino,65-79,97350,0.405,10515,0.488,0.218
78,2021-07-28,latino,80+,25929,0.288,7521,0.307,0.196
79,2021-07-28,latino,all,1719659,0.555,29201,0.464,0.389
80,2021-07-28,other,0-17,9053,0.021,1,0.036,0.044
81,2021-07-28,other,18+,57115,0.021,1204,0.019,0.022
82,2021-07-28,other,18-34,21655,0.021,15,0.017,0.032
83,2021-07-28,other,35-49,15636,0.022,78,0.023,0.021
84,2021-07-28,other,50-64,12685,0.022,219,0.017,0.017
85,2021-07-28,other,65-79,5312,0.022,445,0.021,0.015
86,2021-07-28,other,80+,1827,0.02,447,0.018,0.013
87,2021-07-28,other,all,66184,0.021,1205,0.019,0.027
88,2021-07-28,white,0-17,57016,0.135,5,0.179,0.292
89,2021-07-28,white,18+,583292,0.218,19787,0.314,0.388
90,2021-07-28,white,18-34,184589,0.179,90,0.1,0.302
91,2021-07-28,white,35-49,133581,0.182,351,0.103,0.325
92,2021-07-28,white,50-64,141520,0.243,2183,0.174,0.43
93,2021-07-28,white,65-79,82424,0.343,6269,0.291,0.54
94,2021-07-28,white,80+,41178,0.457,10894,0.444,0.5720000000000001
95,2021-07-28,white,all,640603,0.207,19797,0.314,0.366
96,2021-07-21,asian,0-17,20987,0.05,4,0.143,0.13
97,2021-07-21,asian,18+,206745,0.078,7860,0.125,0.165
98,2021-07-21,asian,18-34,69242,0.068,65,0.074,0.151
99,2021-07-21,asian,35-49,49908,0.069,209,0.062,0.175
100,2021-07-21,asian,50-64,48768,0.084,1083,0.086,0.167
101,2021-07-21,asian,65-79,24025,0.101,2538,0.118,0.172
102,2021-07-21,asian,80+,10402,0.116,3934,0.161,0.172
103,2021-07-21,asian,all,227814,0.075,7865,0.125,0.157
104,2021-07-21,black,0-17,14964,0.036,3,0.107,0.054
105,2021-07-21,black,18+,122509,0.046,4027,0.064,0.061
106,2021-07-21,black,18-34,44800,0.044,79,0.089,0.065
107,2021-07-21,black,35-49,30510,0.042,213,0.063,0.059
108,2021-07-21,black,50-64,29164,0.051,852,0.068,0.064
109,2021-07-21,black,65-79,13292,0.056,1481,0.069,0.055
110,2021-07-21,black,80+,4743,0.053,1402,0.057,0.048
111,2021-07-21,black,all,137535,0.045,4030,0.064,0.06
112,2021-07-21,cdph-other,0-17,45657,0.11,1,0.036,0.0
113,2021-07-21,cdph-other,18+,248771,0.094,830,0.013,0.0
114,2021-07-21,cdph-other,18-34,104262,0.103,21,0.024,0.0
115,2021-07-21,cdph-other,35-49,70500,0.098,47,0.014,0.0
116,2021-07-21,cdph-other,50-64,50790,0.088,158,0.013,0.0
117,2021-07-21,cdph-other,65-79,17362,0.073,298,0.014,0.0
118,2021-07-21,cdph-other,80+,5857,0.065,306,0.013,0.0
119,2021-07-21,cdph-other,all,294554,0.096,831,0.013,0.0
120,2021-07-21,latino,0-17,268499,0.648,14,0.5,0.479
121,2021-07-21,latino,18+,1435191,0.544,29124,0.464,0.363
122,2021-07-21,latino,18-34,593535,0.586,617,0.6960000000000001,0.45
123,2021-07-21,latino,35-49,421807,0.584,2467,0.727,0.415
124,2021-07-21,latino,50-64,297151,0.515,8031,0.642,0.322
125,2021-07-21,latino,65-79,96867,0.407,10504,0.488,0.218
126,2021-07-21,latino,80+,25828,0.289,7505,0.307,0.196
127,2021-07-21,latino,all,1704247,0.558,29139,0.464,0.389
128,2021-07-21,other,0-17,8760,0.021,1,0.036,0.044
129,2021-07-21,other,18+,55862,0.021,1200,0.019,0.022
130,2021-07-21,other,18-34,21090,0.021,15,0.017,0.032
131,2021-07-21,other,35-49,15254,0.022,77,0.023,0.021
132,2021-07-21,other,50-64,12460,0.022,219,0.017,0.017
133,2021-07-21,other,65-79,5245,0.022,444,0.021,0.015
134,2021-07-21,other,80+,1813,0.02,445,0.018,0.013
135,2021-07-21,other,all,64637,0.021,1201,0.019,0.027
136,2021-07-21,white,0-17,55305,0.134,5,0.179,0.292
137,2021-07-21,white,18+,571447,0.216,19725,0.314,0.388
138,2021-07-21,white,18-34,179886,0.178,90,0.101,0.302
139,2021-07-21,white,35-49,130420,0.18,350,0.103,0.325
140,2021-07-21,white,50-64,139085,0.241,2174,0.174,0.43
141,2021-07-21,white,65-79,81250,0.341,6247,0.29,0.54
142,2021-07-21,white,80+,40806,0.456,10864,0.444,0.5720000000000001
143,2021-07-21,white,all,627046,0.205,19735,0.314,0.366
144,2021-07-14,asian,0-17,20647,0.05,4,0.143,0.13
145,2021-07-14,asian,18+,204810,0.078,7850,0.125,0.165
146,2021-07-14,asian,18-34,68322,0.068,65,0.074,0.151
147,2021-07-14,asian,35-49,49384,0.069,208,0.062,0.175
148,2021-07-14,asian,50-64,48503,0.084,1083,0.086,0.167
149,2021-07-14,asian,65-79,23886,0.101,2533,0.118,0.172
150,2021-07-14,asian,80+,10370,0.116,3931,0.161,0.172
151,2021-07-14,asian,all,225541,0.075,7855,0.125,0.157
152,2021-07-14,black,0-17,14424,0.035,3,0.107,0.054
153,2021-07-14,black,18+,119284,0.046,4010,0.064,0.061
154,2021-07-14,black,18-34,43126,0.043,77,0.088,0.065
155,2021-07-14,black,35-49,29628,0.041,210,0.062,0.059
156,2021-07-14,black,50-64,28684,0.05,847,0.068,0.064
157,2021-07-14,black,65-79,13137,0.056,1479,0.069,0.055
158,2021-07-14,black,80+,4709,0.053,1397,0.057,0.048
159,2021-07-14,black,all,133769,0.044,4013,0.064,0.06
160,2021-07-14,cdph-other,0-17,45037,0.11,1,0.036,0.0
161,2021-07-14,cdph-other,18+,246051,0.094,835,0.013,0.0
162,2021-07-14,cdph-other,18-34,102839,0.103,20,0.023,0.0
163,2021-07-14,cdph-other,35-49,69700,0.097,47,0.014,0.0
164,2021-07-14,cdph-other,50-64,50412,0.088,161,0.013,0.0
165,2021-07-14,cdph-other,65-79,17256,0.073,298,0.014,0.0
166,2021-07-14,cdph-other,80+,5844,0.066,309,0.013,0.0
167,2021-07-14,cdph-other,all,291215,0.096,836,0.013,0.0
168,2021-07-14,latino,0-17,266619,0.651,14,0.5,0.479
169,2021-07-14,latino,18+,1426880,0.545,29063,0.464,0.363
170,2021-07-14,latino,18-34,589108,0.589,613,0.6970000000000001,0.45
171,2021-07-14,latino,35-49,419541,0.586,2462,0.729,0.415
172,2021-07-14,latino,50-64,295946,0.516,8006,0.642,0.322
173,2021-07-14,latino,65-79,96546,0.408,10486,0.489,0.218
174,2021-07-14,latino,80+,25736,0.289,7496,0.307,0.196
175,2021-07-14,latino,all,1694057,0.56,29078,0.464,0.389
176,2021-07-14,other,0-17,8586,0.021,1,0.036,0.044
177,2021-07-14,other,18+,55043,0.021,1189,0.019,0.022
178,2021-07-14,other,18-34,20707,0.02,15,0.017,0.032
179,2021-07-14,other,35-49,15017,0.021,77,0.023,0.021
180,2021-07-14,other,50-64,12329,0.022,220,0.017,0.017
181,2021-07-14,other,65-79,5199,0.022,439,0.02,0.015
182,2021-07-14,other,80+,1791,0.02,438,0.018,0.013
183,2021-07-14,other,all,63643,0.021,1190,0.019,0.027
184,2021-07-14,white,0-17,54312,0.133,5,0.179,0.292
185,2021-07-14,white,18+,563717,0.216,19656,0.314,0.388
186,2021-07-14,white,18-34,176730,0.177,89,0.101,0.302
187,2021-07-14,white,35-49,128363,0.179,343,0.102,0.325
188,2021-07-14,white,50-64,137499,0.24,2160,0.173,0.43
189,2021-07-14,white,65-79,80533,0.34,6229,0.29,0.54
190,2021-07-14,white,80+,40592,0.456,10835,0.444,0.5720000000000001
191,2021-07-14,white,all,618322,0.204,19666,0.314,0.366
192,2021-07-07,asian,0-17,20466,0.05,4,0.143,0.13
